entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
32,017,60473.0,58,0.0959105716600797
28,033,38910.0,37,0.09509123618607042
07,065,33669.0,32,0.095042917817577
22,014,305483.0,290,0.09493163285682019
31,050,303893.0,288,0.09477019872126044
32,038,19267.0,18,0.09342398920433903
12,001,224027.0,207,0.09239957683672058
12,038,37374.0,34,0.09097233370792529
13,061,16489.0,15,0.09096973740069136
17,008,31160.0,28,0.08985879332477535
07,019,44451.0,39,0.08773705878382938
25,012,150190.0,131,0.08722285105532991
07,099,20865.0,18,0.08626887131560029
27,013,42007.0,36,0.08570000238055563
05,010,23370.0,20,0.08557980316645272
23,009,14029.0,12,0.08553710171787013
28,003,80914.0,69,0.08527572484366117
07,027,29653.0,25,0.08430850166930834
07,034,20195.0,17,0.08417925229017083
32,020,17860.0,15,0.083986562150056
16,050,22722.0,19,0.08361939970073057
20,157,4787.0,4,0.08355964069354502
14,093,40899.0,34,0.0831316169099489
21,208,22891.0,19,0.08300205320868463
25,015,23039.0,19,0.08246885715525848
08,050,20940.0,17,0.08118433619866285
32,010,64052.0,52,0.08118403796915007
11,001,22277.0,18,0.08080082596399875
24,028,254142.0,203,0.07987660441800254
12,021,21384.0,17,0.07949869060980172
19,033,24525.0,19,0.07747196738022426
05,025,51732.0,40,0.07732158045310446
28,027,120335.0,91,0.07562222129887397
16,075,21237.0,16,0.07534020812732495
31,096,21282.0,16,0.0751809040503712
31,041,39977.0,30,0.07504314981114141
07,031,26658.0,20,0.07502438292445045
27,004,197683.0,147,0.07436147771937901
15,088,25577.0,19,0.07428549087070414
12,066,21610.0,16,0.07403979639055992
16,066,24405.0,18,0.07375537799631224
05,018,69905.0,51,0.07295615478148916
16,076,20600.0,15,0.07281553398058252
19,038,20911.0,15,0.07173258093826215
